target.gene_info.symbol,target.id,association_score.overall,association_score.datatypes.genetic_association,association_score.datatypes.somatic_mutation,association_score.datatypes.known_drug,association_score.datatypes.affected_pathway,association_score.datatypes.rna_expression,association_score.datatypes.literature,association_score.datatypes.animal_model,target.gene_info.name
BBS4,ENSG00000140463,1.0,1.0,0.0,0.0,0.0,0.0,0.07037478011040732,0.32671007252865997,Bardet-Biedl syndrome 4
BBS1,ENSG00000174483,1.0,1.0,0.0,0.0,0.0,0.0,0.06913184045507395,0.3241885049294928,Bardet-Biedl syndrome 1
NR0B1,ENSG00000169297,1.0,1.0,0.0,0.0,0.0,0.0,0.07521980739914992,0.3181437037932717,nuclear receptor subfamily 0 group B member 1
FSHR,ENSG00000170820,1.0,1.0,0.0,1.0,0.0,0.0,0.061648530945174376,0.3265477948081161,follicle stimulating hormone receptor
NR5A1,ENSG00000136931,1.0,1.0,0.0,0.0,0.0,0.0,0.06634591584014446,0.32311020720882744,nuclear receptor subfamily 5 group A member 1
BBS7,ENSG00000138686,1.0,1.0,0.0,0.0,0.0,0.0,0.06520703943587736,0.320233894659808,Bardet-Biedl syndrome 7
FGFR1,ENSG00000077782,1.0,1.0,0.0,0.0,0.0,0.0,0.07716528922114162,0.3033352157955279,fibroblast growth factor receptor 1
MAGEL2,ENSG00000254585,1.0,1.0,0.0,0.0,0.0,0.0,0.05170122806361941,0.32026120595732677,MAGE family member L2
GALT,ENSG00000213930,1.0,1.0,0.0,0.0,0.0,0.0,0.06826318066702829,0.0,galactose-1-phosphate uridylyltransferase
BBS5,ENSG00000163093,1.0,1.0,0.0,0.0,0.0,0.0,0.05454891491879143,0.0,Bardet-Biedl syndrome 5
FOXL2,ENSG00000183770,1.0,1.0,0.0,0.0,0.0,0.0,0.04516952521892889,0.29797955555555555,forkhead box L2
CYP19A1,ENSG00000137869,1.0,1.0,0.0,0.1,0.0,0.0,0.08148943800855676,0.3262719428795282,cytochrome P450 family 19 subfamily A member 1
GNRH1,ENSG00000147437,1.0,1.0,0.0,0.0,0.0,0.0,0.06643807307449552,0.32326274205502764,gonadotropin releasing hormone 1
TTC8,ENSG00000165533,1.0,1.0,0.0,0.0,0.0,0.0,0.06271374963010129,0.3195452690880723,tetratricopeptide repeat domain 8
LEPR,ENSG00000116678,1.0,1.0,0.0,0.0,0.0,0.0,0.047251742213134,0.32699678003697863,leptin receptor
CEP290,ENSG00000198707,1.0,1.0,0.0,0.0,0.0,0.0,0.04580963157476301,0.32511654826615055,centrosomal protein 290
BBS9,ENSG00000122507,1.0,1.0,0.0,0.0,0.0,0.0,0.061708138885534135,0.28750605917610345,Bardet-Biedl syndrome 9
STAR,ENSG00000147465,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29193937222222216,steroidogenic acute regulatory protein
DCAF17,ENSG00000115827,1.0,1.0,0.0,0.0,0.0,0.0,0.04540881093098451,0.0,DDB1 and CUL4 associated factor 17
CYP21A2,ENSG00000231852,1.0,1.0,0.0,0.0,0.0,0.0,0.063243637726332,0.0,cytochrome P450 family 21 subfamily A member 2
WNT4,ENSG00000162552,1.0,1.0,0.0,0.0,0.0,0.0,0.05327997671249915,0.3170866634151615,Wnt family member 4
HARS2,ENSG00000112855,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"histidyl-tRNA synthetase 2, mitochondrial"
ESR1,ENSG00000091831,1.0,1.0,0.0,1.0,0.0,0.0,0.1328126793151768,0.32699678003697863,estrogen receptor 1
BBS2,ENSG00000125124,1.0,1.0,0.0,0.0,0.0,0.0,0.04981399993815055,0.32315806493762395,Bardet-Biedl syndrome 2
ESR2,ENSG00000140009,1.0,1.0,0.0,1.0,0.0,0.0,0.06312838973140056,0.31542478312147687,estrogen receptor 2
BBIP1,ENSG00000214413,1.0,1.0,0.0,0.0,0.0,0.0,0.04814444444444444,0.3210236757303466,BBSome interacting protein 1
MKS1,ENSG00000011143,1.0,1.0,0.0,0.0,0.0,0.0,0.021788222222222226,0.3249756536551345,MKS transition zone complex subunit 1
TBX19,ENSG00000143178,1.0,1.0,0.0,0.0,0.0,0.0,0.044499983142839206,0.27183111111111113,T-box transcription factor 19
C8orf37,ENSG00000156172,1.0,1.0,0.0,0.0,0.0,0.0,0.0402,0.2673038888888889,chromosome 8 open reading frame 37
GATA4,ENSG00000136574,1.0,1.0,0.0,0.0,0.0,0.0,0.010400000000000001,0.282956592356387,GATA binding protein 4
IFT74,ENSG00000096872,1.0,1.0,0.0,0.0,0.0,0.0,0.04145555555555556,0.0,intraflagellar transport 74
LHX4,ENSG00000121454,1.0,1.0,0.0,0.0,0.0,0.0,0.03321291773746537,0.0,LIM homeobox 4
IL17RD,ENSG00000144730,1.0,1.0,0.0,0.0,0.0,0.0,0.0256,0.0,interleukin 17 receptor D
MEN1,ENSG00000133895,1.0,1.0,0.5,0.0,0.0,0.0,0.06701704950575996,0.31441345071265697,menin 1
TMEM67,ENSG00000164953,1.0,1.0,0.0,0.0,0.0,0.0,0.017692077097505674,0.31314414317512446,transmembrane protein 67
SIGMAR1,ENSG00000147955,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,sigma non-opioid intracellular receptor 1
AR,ENSG00000169083,1.0,0.0,0.0,1.0,0.0,0.0,0.037214509796426265,0.3265628713923511,androgen receptor
IFT172,ENSG00000138002,1.0,1.0,0.0,0.0,0.0,0.0,0.047765999999999996,0.31554079087569525,intraflagellar transport 172
PGR,ENSG00000082175,1.0,0.0,0.0,1.0,0.0,0.0,0.02880555555555556,0.3146878744054911,progesterone receptor
LHCGR,ENSG00000138039,1.0,0.0,0.0,1.0,0.0,0.0,0.004,0.32503312269414575,luteinizing hormone/choriogonadotropin receptor
RBM28,ENSG00000106344,1.0,1.0,0.0,0.0,0.0,0.0,0.0535,0.0,RNA binding motif protein 28
PABPC1L,ENSG00000101104,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2717333333333333,poly(A) binding protein cytoplasmic 1 like
IL11RA,ENSG00000137070,1.0,1.0,0.0,0.0,0.0,0.0,0.0316,0.25,interleukin 11 receptor subunit alpha
IFT27,ENSG00000100360,1.0,1.0,0.0,0.0,0.0,0.0,0.05408374376417234,0.23247500000000001,intraflagellar transport 27
STAG3,ENSG00000066923,1.0,1.0,0.0,0.0,0.0,0.0,0.016766666666666666,0.248875,stromal antigen 3
NR2F2,ENSG00000185551,1.0,1.0,0.0,0.0,0.0,0.0,0.021355555555555558,0.2,nuclear receptor subfamily 2 group F member 2
RNPC3,ENSG00000185946,1.0,1.0,0.0,0.0,0.0,0.0,0.19264444444444445,0.0,"RNA binding region (RNP1, RRM) containing 3"
INSR,ENSG00000171105,1.0,1.0,0.0,0.0,0.0,0.0,0.0472302539057967,0.0,insulin receptor
WEE2,ENSG00000214102,1.0,1.0,0.0,0.0,0.0,0.0,0.043758333333333344,0.0,WEE2 oocyte meiosis inhibiting kinase
FLRT3,ENSG00000125848,1.0,1.0,0.0,0.0,0.0,0.0,0.0244,0.0,fibronectin leucine rich transmembrane protein 3
SSTR3,ENSG00000278195,1.0,0.0,0.0,1.0,0.0,0.0,0.0135,0.0,somatostatin receptor 3
CCDC170,ENSG00000120262,1.0,8.345649870047968e-05,1.0,0.0,0.0,0.0,0.0,0.0,coiled-coil domain containing 170
NDNF,ENSG00000173376,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,neuron derived neurotrophic factor
ZNF596,ENSG00000172748,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,zinc finger protein 596
GRIN3B,ENSG00000116032,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,glutamate ionotropic receptor NMDA type subunit 3B
DRD4,ENSG00000069696,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,dopamine receptor D4
POLD2,ENSG00000106628,0.8149323171865889,0.0,0.0,0.8149323171865889,0.0,0.0,0.0,0.0,"DNA polymerase delta 2, accessory subunit"
POLA2,ENSG00000014138,0.8149323171865889,0.0,0.0,0.8149323171865889,0.0,0.0,0.0,0.0,"DNA polymerase alpha 2, accessory subunit"
