"Gene
Sex:F:CTB:M","Consensus-RNAseq:Low","Proteomics-DB:Low","HPA-Ab:","Mouse Infertility","Druggable"
"ACPP","M","M","M","—","Y"
"ACR","M","CTB","M","NA","Y"
"ACRBP","M","CTB","M","NA","Y"
"ACRV1","M","CTB","M","—","—"
"ACTL7A","M","CTB","M","—","—"
"ACTL7B","M","CTB","M","M","—"
"ACTRT2","M","CTB","M","—","—"
"ACTRT3","M","M","M","NA","—"
"ADAM2","M","CTB","M","NA","Y"
"ADAM21","M","M","M","NA","Y"
"ADAM30","M","CTB","M","—","Y"
"ADAM32","M","CTB","M","NA","Y"
"AKAP3","M","M","M","—","—"
"AKAP4","M","CTB","M","M","—"
"ARMC12","M","M","M","—","—"
"ATP6V1E2","M","CTB","CTB","—","Y"
"BANF2","M","M","M","—","—"
"BEND2","M","M","M","—","—"
"BOLL","M","M","M","M","—"
"BPIFA3","M","M","M","NA","Y"
"BSPH1","M","M","M","—","Y"
"C10orf62","M","M","M","—","—"
"C16orf86","M","M","M","—","—"
"C17orf64","M","M","M","NA","—"
"C20orf144","M","CTB","M","NA","—"
"C7orf61","M","CTB","M","—","—"
"CABS1","M","CTB","M","—","—"
"CABYR","M","CTB","M","NA","—"
"CAPZA3","M","M","M","M","—"
"CETN1","M","F","M","M","—"
"CRISP1","M","M","M","NA","Y"
"CT47B1","M","M","M","—","—"
"DAZL","M","CTB","M","CTB","Y"
"DCAF4L1","M","CTB","M","—","—"
"DCAF4L2","M","M","M","—","—"
"DDX4","M","CTB","M","M","—"
"DEFB106A","M","M","M","—","Y"
"DEFB119","M","CTB","M","—","Y"
"DEFB129","M","M","M","—","Y"
"DEFB132","M","M","M","—","Y"
"DKKL1","M","M","M","NA","Y"
"DMC1","M","CTB","M","CTB","Y"
"DMRT1","M","CTB","M","M","Y"
"DMRTB1","M","M","M","NA","—"
"DPEP3","M","CTB","M","—","Y"
"DPY19L2","M","M","M","M","—"
"EDDM3B","M","M","M","NA","—"
"EFCAB3","M","M","M","NA","—"
"ELSPBP1","M","M","M","—","Y"
"FAM166A","M","M","M","—","—"
"FAM170A","M","M","M","M","—"
"FAM205A","M","CTB","M","—","—"
"FAM209B","M","CTB","M","NA","—"
"FAM24A","M","M","M","—","—"
"FAM71A","M","CTB","M","—","—"
"FAM71B","M","M","M","—","—"
"FATE1","M","CTB","M","—","—"
"FBXO24","M","M","M","—","—"
"FKBP6","M","M","CTB","M","Y"
"FMR1NB","M","CTB","M","NA","—"
"FNDC8","M","CTB","M","—","—"
"FSCN3","M","M","CTB","—","—"
"GAPDHS","M","M","M","M","Y"
"GLIPR1L1","M","CTB","M","—","Y"
"GOLGA6C","M","M","M","NA","—"
"GTSF1","M","CTB","CTB","M","—"
"GTSF1L","M","CTB","M","—","—"
"HDGFL1","M","CTB","M","NA","—"
"HHIPL2","M","M","M","—","—"
"HIST1H2BA","M","CTB","M","—","—"
"HMGB4","M","CTB","M","NA","—"
"HSD17B3","M","CTB","M","—","Y"
"HSF5","M","CTB","M","—","—"
"INSL3","M","CTB","M","CTB","Y"
"INSL6","M","M","M","M","Y"
"IRGC","M","M","M","—","—"
"IZUMO1","M","M","M","M","—"
"IZUMO4","M","M","M","—","—"
"KLHL10","M","M","M","M","Y"
"KLK2","M","M","M","—","Y"
"KLK3","M","M","M","—","Y"
"LCN9","M","CTB","M","—","Y"
"LDHAL6B","M","CTB","M","—","—"
"LDHC","M","M","M","M","—"
"LELP1","M","M","M","—","—"
"LRRC37A2","M","M","M","—","—"
"LUZP4","M","CTB","M","—","—"
"LYZL4","M","CTB","M","NA","Y"
"LYZL6","M","M","M","NA","Y"
"MAEL","M","CTB","M","M","—"
"MAGEB1","M","CTB","M","—","—"
