gene symbol,overallAssociationScore,geneticAssociations,somaticMutations,drugs,pathwaysSystemsBiology,textMining,rnaExpression,animalModels,targetName,Open Targets,Consensus-RNAseq:High,Proteomics-DB:High,HPA-Ab:,Mouse Infertility,Druggable,CITDBase
FOXL2,0.79959432,0.794393286,No data,No data,No data,0.524776221,No data,0.550636204,forkhead box L2,TRUE,—,—,F,F,Y,TRUE
GDF9,0.645675087,0.633316145,No data,No data,No data,0.013756583,No data,0.5484143,growth differentiation factor 9,TRUE,—,—,CTB,F,Y,TRUE
PAX2,0.125357271,No data,No data,No data,No data,0.108519938,No data,0.599656371,paired box 2,TRUE,—,—,CTB,,Y,TRUE
NANOS3,0.112071924,No data,No data,No data,No data,No data,No data,0.560359622,nanos C2HC-type zinc finger 3,TRUE,—,—,CTB,CTB,Y,TRUE
SPDYA,0.111167769,No data,No data,No data,No data,No data,No data,0.555838847,speedy/RINGO cell cycle regulator family member A,TRUE,—,—,CTB,CTB,Y,TRUE
SALL4,0.104663764,No data,No data,No data,No data,0.018478993,No data,0.518699074,spalt like transcription factor 4,TRUE,—,—,CTB,,Y,TRUE
GBX1,0.094854723,No data,No data,No data,No data,No data,No data,0.474273615,gastrulation brain homeobox 1,TRUE,—,—,CTB,,—,TRUE
OOEP,0.092394964,No data,No data,No data,No data,No data,No data,0.461974818,oocyte expressed protein,TRUE,—,—,F,F,—,TRUE
FIGLA,0.091977338,No data,No data,No data,No data,0.007391597,No data,0.458038793,folliculogenesis specific bHLH transcription factor,TRUE,—,—,F,CTB,Y,TRUE
DAZL,0.091713089,No data,No data,No data,No data,0.009239496,No data,0.45625557,deleted in azoospermia like,TRUE,—,F,—,CTB,Y,TRUE
MSX1,0.074156198,No data,No data,No data,No data,0.042501683,No data,0.360155568,msh homeobox 1,TRUE,—,—,F,,Y,TRUE
TDRD1,0.072252862,No data,No data,No data,No data,No data,No data,0.361264308,tudor domain containing 1,TRUE,—,—,CTB,M,—,TRUE
FKBP6,0.072252862,No data,No data,No data,No data,No data,No data,0.361264308,FKBP prolyl isomerase family member 6 (inactive),TRUE,—,—,CTB,M,Y,TRUE
MFAP4,0.001478319,No data,No data,No data,No data,0.007391597,No data,No data,microfibril associated protein 4,TRUE,—,—,F,,Y,TRUE
SFRP4,0.001478319,No data,No data,No data,No data,0.007391597,No data,No data,secreted frizzled related protein 4,TRUE,—,—,CTB,,Y,TRUE
ZP4,0.001478319,No data,No data,No data,No data,0.007391597,No data,No data,zona pellucida glycoprotein 4,TRUE,—,—,F,—,Y,TRUE
OVGP1,,,,,,,,,,,F,—,F,—,Y,TRUE
ATP6V1E2,,,,,,,,,,,—,—,CTB,—,Y,TRUE
BAG5,,,,,,,,,,,—,—,CTB,—,—,TRUE
C2orf50,,,,,,,,,,,—,—,F,—,—,TRUE
C2orf70,,,,,,,,,,,—,—,CTB,—,—,TRUE
C4orf22,,,,,,,,,,,—,—,CTB,—,—,TRUE
CCDC13,,,,,,,,,,,—,—,CTB,—,—,TRUE
CFAP58,,,,,,,,,,,—,—,F,—,—,TRUE
CLGN,,,,,,,,,,,—,—,CTB,M,—,TRUE
CXorf24,,,,,,,,,,,—,F,—,—,—,TRUE
DEFB123,,,,,,,,,,,—,CTB,—,—,Y,TRUE
DLEC1,,,,,,,,,,,—,—,CTB,M,—,TRUE
DPEP3,,,,,,,,,,,—,CTB,—,—,Y,TRUE
FAM71F2,,,,,,,,,,,—,—,CTB,—,—,TRUE
FATE1,,,,,,,,,,,—,F,—,—,—,TRUE
FSCN3,,,,,,,,,,,—,—,CTB,—,—,TRUE
GTSF1,,,,,,,,,,,—,—,CTB,M,—,TRUE
H2AFB2,,,,,,,,,,,—,CTB,—,—,—,TRUE
LDHAL6B,,,,,,,,,,,—,CTB,—,—,—,TRUE
LDLRAD1,,,,,,,,,,,—,—,F,,—,TRUE
LTBP2,,,,,,,,,,,—,—,F,,Y,TRUE
10-Mar,,,,,,,,,,,—,—,CTB,—,—,TRUE
MBD3L1,,,,,,,,,,,—,—,CTB,,—,TRUE
NLRP14,,,,,,,,,,,—,—,CTB,—,—,TRUE
PGK2,,,,,,,,,,,—,—,CTB,M,Y,TRUE
ROPN1B,,,,,,,,,,,—,CTB,—,,—,TRUE
RSPH10B2,,,,,,,,,,,—,—,CTB,—,—,TRUE
SPATS1,,,,,,,,,,,—,—,CTB,,—,TRUE
SPINK2,,,,,,,,,,,—,—,CTB,M,Y,TRUE
SYNGR4,,,,,,,,,,,—,CTB,—,,—,TRUE
TKTL2,,,,,,,,,,,—,CTB,—,—,—,TRUE
TRIM60,,,,,,,,,,,—,—,CTB,—,Y,TRUE
TUBA1B,,,,,,,,,,,—,F,—,—,Y,TRUE
VCY,,,,,,,,,,,—,CTB,—,—,—,TRUE
CHD7,0.880615172,0.877307388,No data,No data,No data,0.463743011,No data,0.452785626,chromodomain helicase DNA binding protein 7,TRUE,,,,,,
BBS10,0.856658343,0.852927797,No data,No data,No data,0.10588503,No data,0.593705165,Bardet-Biedl syndrome 10,TRUE,,,,,,
FGFR1,0.855478115,0.851700548,No data,No data,No data,0.162556319,No data,0.560532925,fibroblast growth factor receptor 1,TRUE,,,,,,
GALT,0.852918918,0.852402174,No data,No data,No data,0.093013916,No data,No data,galactose-1-phosphate uridylyltransferase,TRUE,,,,,,
BBS12,0.848484316,0.844607956,No data,No data,No data,0.147111958,No data,0.589662583,Bardet-Biedl syndrome 12,TRUE,,,,,,
POU1F1,0.834525073,0.830816174,No data,No data,No data,0.155723283,No data,0.553192791,POU class 1 homeobox 1,TRUE,,,,,,
ANOS1,0.830773231,0.828826958,No data,No data,No data,0.243284144,No data,No data,anosmin 1,TRUE,,,,,,
PROKR2,0.824482089,0.819194585,No data,No data,No data,0.168748389,No data,0.543751661,prokineticin receptor 2,TRUE,,,,,,
HESX1,0.824110934,0.820658144,No data,No data,No data,0.114488989,No data,0.537387834,HESX homeobox 1,TRUE,,,,,,
BBS4,0.822679676,0.818738319,No data,No data,No data,0.143892576,No data,0.603727306,Bardet-Biedl syndrome 4,TRUE,,,,,,
NR0B1,0.822344614,0.810226565,0.332621869,No data,No data,0.169504884,No data,0.575468179,nuclear receptor subfamily 0 group B member 1,TRUE,,,,,,
BBS7,0.817999216,0.814165292,No data,No data,No data,0.133860306,No data,0.591759981,Bardet-Biedl syndrome 7,TRUE,,,,,,
BBS1,0.817502879,0.811539174,No data,No data,No data,0.210809363,No data,0.599067703,Bardet-Biedl syndrome 1,TRUE,,,,,,
GNRHR,0.81007024,0.78865337,No data,0.396271733,No data,0.079030492,No data,0.602160812,gonadotropin releasing hormone receptor,TRUE,,,,,,
PNPLA6,0.801027409,0.800382567,No data,No data,No data,0.116071637,No data,No data,patatin like phospholipase domain containing 6,TRUE,,,,,,
HBB,0.800442991,0.760887913,No data,0.545962824,No data,0.146924407,No data,No data,hemoglobin subunit beta,TRUE,,,,,,
BBS9,0.798850861,0.793885927,No data,No data,No data,0.128641784,No data,0.531282238,Bardet-Biedl syndrome 9,TRUE,,,,,,
NR5A1,0.790942538,0.785931837,No data,No data,No data,0.047087093,No data,0.593638232,nuclear receptor subfamily 5 group A member 1,TRUE,,,,,,
PROK2,0.789307638,0.787929697,No data,No data,No data,0.172242561,No data,No data,prokineticin 2,TRUE,,,,,,
BBS5,0.788888138,0.787798964,No data,No data,No data,0.196051303,No data,No data,Bardet-Biedl syndrome 5,TRUE,,,,,,
