"Gene
Sex:F:CTB","Consensus-RNAseq:High","Proteomics-DB:High","HPA-Ab:","Mouse Infertility","Druggable"
"OVGP1","F","—","F","—","Y"
"ATP6V1E2","—","—","CTB","—","Y"
"BAG5","—","—","CTB","—","—"
"C2orf50","—","—","F","—","—"
"C2orf70","—","—","CTB","—","—"
"C4orf22","—","—","CTB","—","—"
"CCDC13","—","—","CTB","—","—"
"CFAP58","—","—","F","—","—"
"CLGN","—","—","CTB","M","—"
"CXorf24","—","F","—","—","—"
"DAZL","—","F","—","CTB","Y"
"DEFB123","—","CTB","—","—","Y"
"DLEC1","—","—","CTB","M","—"
"DPEP3","—","CTB","—","—","Y"
"FAM71F2","—","—","CTB","—","—"
"FATE1","—","F","—","—","—"
"FIGLA","—","—","F","CTB","Y"
"FKBP6","—","—","CTB","M","Y"
"FOXL2","—","—","F","F","Y"
"FSCN3","—","—","CTB","—","—"
"GBX1","—","—","CTB","NA","—"
"GDF9","—","—","CTB","F","Y"
"GTSF1","—","—","CTB","M","—"
"H2AFB2","—","CTB","—","—","—"
"LDHAL6B","—","CTB","—","—","—"
"LDLRAD1","—","—","F","NA","—"
"LTBP2","—","—","F","NA","Y"
"MARCH10","—","—","CTB","—","—"
"MBD3L1","—","—","CTB","NA","—"
"MFAP4","—","—","F","NA","Y"
"MSX1","—","—","F","NA","Y"
"NANOS3","—","—","CTB","CTB","Y"
"NLRP14","—","—","CTB","—","—"
"OOEP","—","—","F","F","—"
"PAX2","—","—","CTB","NA","Y"
"PGK2","—","—","CTB","M","Y"
"ROPN1B","—","CTB","—","NA","—"
"RSPH10B2","—","—","CTB","—","—"
"SALL4","—","—","CTB","NA","Y"
"SFRP4","—","—","CTB","NA","Y"
"SPATS1","—","—","CTB","NA","—"
"SPDYA","—","—","CTB","CTB","Y"
"SPINK2","—","—","CTB","M","Y"
"SYNGR4","—","CTB","—","NA","—"
"TDRD1","—","—","CTB","M","—"
"TKTL2","—","CTB","—","—","—"
"TRIM60","—","—","CTB","—","Y"
"TUBA1B","—","F","—","—","Y"
"VCY","—","CTB","—","—","—"
"ZP4","—","—","F","—","Y"
