"Gene
Sex:F:CTB","Consensus-RNAseq:Low","Proteomics-DB:Low","HPA-Ab:","Mouse Infertility","Druggable"
"OVGP1","F","F","F","—","Y"
"ARX","F","CTB","—","NA","—"
"ATP6V1E2","—","CTB","CTB","—","Y"
"CHRNA5","F","F","—","NA","Y"
"EDNRA","CTB","F","—","NA","Y"
"FOXL2","F","—","F","F","Y"
"GTSF1","—","CTB","CTB","M","—"
"LDLRAD1","F","—","F","NA","—"
"MSX1","F","—","F","NA","Y"
"NANOS3","—","CTB","CTB","CTB","Y"
"NDP","F","F","—","NA","Y"
"PLA2G4D","F","F","—","—","Y"
"RSPH1","F","CTB","—","M","—"
"RSPH10B2","CTB","—","CTB","—","—"
"SPINK2","—","CTB","CTB","M","Y"
"TEKT2","CTB","CTB","—","M","—"
"TMEM190","F","CTB","—","NA","—"
"UTF1","CTB","CTB","—","NA","—"
"WT1","F","CTB","—","M","Y"
"AC004080.3","F","—","—","—","—"
"AC007906.2","F","—","—","—","—"
"AC013470.2","F","—","—","—","—"
"ACE2","—","F","—","NA","Y"
"ACR","—","CTB","—","NA","Y"
"ACRBP","—","CTB","—","NA","Y"
"ACRV1","—","CTB","—","—","—"
"ACTL7A","—","CTB","—","—","—"
"ACTL7B","—","CTB","—","M","—"
"ACTL8","—","CTB","—","—","—"
"ACTRT2","—","CTB","—","—","—"
"ADAM2","—","CTB","—","NA","Y"
"ADAM30","—","CTB","—","—","Y"
"ADAM32","—","CTB","—","NA","Y"
"AHSA1","F","—","—","NA","—"
"AK8","CTB","—","—","NA","Y"
"AKAP4","—","CTB","—","M","—"
"ALPPL2","—","F","—","—","Y"
"AMH","—","CTB","—","NA","Y"
"AMIGO2","F","—","—","—","—"
"ANGPTL5","F","—","—","—","Y"
"ANHX","—","F","—","—","—"
"ANKMY1","CTB","—","—","—","—"
"ANKRD66","F","—","—","—","—"
"AOC2","—","F","—","—","Y"
"AP000812.5","CTB","—","—","—","—"
"APITD1","—","F","—","—","—"
"APOBEC4","CTB","—","—","—","—"
"ARNTL2","—","F","—","—","Y"
"ASB3","—","CTB","—","NA","—"
"ATXN1L","—","F","—","NA","—"
"BAG5","—","—","CTB","—","—"
"BNC1","—","F","—","NA","—"
"BUB1","—","CTB","—","M","Y"
"C10orf107","—","F","—","—","—"
"C10orf120","—","F","—","NA","—"
"C11orf97","CTB","—","—","NA","—"
"C12orf60","—","CTB","—","—","—"
"C15orf41","—","F","—","NA","—"
"C15orf43","—","F","—","—","—"
"C16orf71","CTB","—","—","—","—"
"C17orf104","—","CTB","—","—","—"
"C17orf67","F","—","—","—","—"
"C17orf96","—","CTB","—","—","—"
"C1orf158","CTB","—","—","—","—"
"C1orf189","CTB","—","—","—","—"
"C20orf144","—","CTB","—","NA","—"
"C20orf85","CTB","—","—","—","—"
"C22orf15","F","—","—","—","—"
"C2orf50","—","—","F","—","—"
"C2orf70","—","—","CTB","—","—"
"C3orf71","—","CTB","—","—","—"
"C4orf22","—","—","CTB","—","—"
"C4orf46","—","F","—","—","—"
"C5orf34","—","F","—","NA","—"
"C7","F","—","—","NA","Y"
"C7orf61","—","CTB","—","—","—"
"C9orf116","CTB","—","—","NA","—"
"CABCOCO1","F","—","—","—","—"
"CABP1","—","F","—","NA","—"
"CABS1","—","CTB","—","—","—"
"CABYR","—","CTB","—","NA","—"
"CACYBP","F","—","—","NA","—"
