"symbol","overallAssociationScore","geneticAssociations","somaticMutations","drugs","pathwaysSystemsBiology","textMining","rnaExpression","animalModels","targetName"
"CHD7",0.8806151721354354,0.8773073884383157,"No data","No data","No data",0.4637430109543411,"No data",0.452785625913425,"chromodomain helicase DNA binding protein 7"
"BBS10",0.8566583428395961,0.8529277970129521,"No data","No data","No data",0.10588503029693742,"No data",0.5937051653124685,"Bardet-Biedl syndrome 10"
"FGFR1",0.855478114799385,0.8517005478147411,"No data","No data","No data",0.16255631905041074,"No data",0.5605329248723191,"fibroblast growth factor receptor 1"
"GALT",0.8529189180709486,0.8524021740951307,"No data","No data","No data",0.09301391564719713,"No data","No data","galactose-1-phosphate uridylyltransferase"
"BBS12",0.8484843161961427,0.8446079559838371,"No data","No data","No data",0.1471119581331521,"No data",0.5896625832600503,"Bardet-Biedl syndrome 12"
"POU1F1",0.8345250729894679,0.8308161744702041,"No data","No data","No data",0.15572328317929574,"No data",0.5531927907235232,"POU class 1 homeobox 1"
"ANOS1",0.8307732307962369,0.8288269576402993,"No data","No data","No data",0.24328414449220506,"No data","No data","anosmin 1"
"PROKR2",0.824482089105945,0.8191945847719033,"No data","No data","No data",0.16874838868888606,"No data",0.543751660721266,"prokineticin receptor 2"
"HESX1",0.8241109339068399,0.8206581439449717,"No data","No data","No data",0.114488988700682,"No data",0.5373878340908604,"HESX homeobox 1"
"BBS4",0.8226796760525666,0.8187383188285218,"No data","No data","No data",0.14389257609529013,"No data",0.6037273056458525,"Bardet-Biedl syndrome 4"
"NR0B1",0.8223446135139988,0.8102265646758327,0.3326218692162316,"No data","No data",0.16950488390490936,"No data",0.5754681786671619,"nuclear receptor subfamily 0 group B member 1"
"BBS7",0.8179992155921799,0.8141652915462576,"No data","No data","No data",0.13386030563697524,"No data",0.5917599812674397,"Bardet-Biedl syndrome 7"
"BBS1",0.8175028789428049,0.81153917419446,"No data","No data","No data",0.21080936279760165,"No data",0.5990677027114635,"Bardet-Biedl syndrome 1"
"GNRHR",0.8100702398118742,0.7886533700780672,"No data",0.39627173307859687,"No data",0.07903049195846393,"No data",0.6021608118957472,"gonadotropin releasing hormone receptor"
"PNPLA6",0.8010274094517518,0.8003825670218578,"No data","No data","No data",0.1160716373808908,"No data","No data","patatin like phospholipase domain containing 6"
"HBB",0.800442990626356,0.7608879133652054,"No data",0.5459628237375089,"No data",0.14692440661024347,"No data","No data","hemoglobin subunit beta"
"FOXL2",0.7995943202545742,0.7943932864731608,"No data","No data","No data",0.5247762207212464,"No data",0.5506362042061712,"forkhead box L2"
"BBS9",0.7988508612922628,0.7938859268089082,"No data","No data","No data",0.1286417844906429,"No data",0.531282237856378,"Bardet-Biedl syndrome 9"
