,gene symbol,ensembl ID,overallAssociationScore,geneticAssociations,somaticMutations,drugs,pathwaysSystemsBiology,textMining,rnaExpression,animalModels,targetName,Open Targets,Consensus-RNAseq:Low,Proteomics-DB:Low,HPA-Ab:,Mouse Infertility,Druggable,CITDBase
0,CHD7,ENSG00000171316,0.8806151721354354,0.8773073884383157,No data,No data,No data,0.4637430109543411,No data,0.452785625913425,chromodomain helicase DNA binding protein 7,True,,,,,,
1,BBS10,ENSG00000179941,0.8566583428395961,0.8529277970129521,No data,No data,No data,0.10588503029693742,No data,0.5937051653124685,Bardet-Biedl syndrome 10,True,,,,,,
2,FGFR1,ENSG00000077782,0.855478114799385,0.8517005478147411,No data,No data,No data,0.16255631905041074,No data,0.5605329248723191,fibroblast growth factor receptor 1,True,,,,,,
3,GALT,ENSG00000213930,0.8529189180709486,0.8524021740951307,No data,No data,No data,0.09301391564719713,No data,No data,galactose-1-phosphate uridylyltransferase,True,,,,,,
4,BBS12,ENSG00000181004,0.8484843161961427,0.8446079559838371,No data,No data,No data,0.1471119581331521,No data,0.5896625832600503,Bardet-Biedl syndrome 12,True,,,,,,
5,POU1F1,ENSG00000064835,0.8345250729894679,0.8308161744702041,No data,No data,No data,0.15572328317929574,No data,0.5531927907235232,POU class 1 homeobox 1,True,,,,,,
6,ANOS1,ENSG00000011201,0.8307732307962369,0.8288269576402993,No data,No data,No data,0.24328414449220506,No data,No data,anosmin 1,True,,,,,,
7,PROKR2,ENSG00000101292,0.824482089105945,0.8191945847719033,No data,No data,No data,0.16874838868888606,No data,0.543751660721266,prokineticin receptor 2,True,,,,,,
8,HESX1,ENSG00000163666,0.8241109339068399,0.8206581439449717,No data,No data,No data,0.114488988700682,No data,0.5373878340908604,HESX homeobox 1,True,,,,,,
9,BBS4,ENSG00000140463,0.8226796760525666,0.8187383188285218,No data,No data,No data,0.14389257609529013,No data,0.6037273056458525,Bardet-Biedl syndrome 4,True,,,,,,
10,NR0B1,ENSG00000169297,0.8223446135139988,0.8102265646758327,0.3326218692162316,No data,No data,0.16950488390490936,No data,0.5754681786671619,nuclear receptor subfamily 0 group B member 1,True,,,,,,
11,BBS7,ENSG00000138686,0.8179992155921799,0.8141652915462576,No data,No data,No data,0.13386030563697524,No data,0.5917599812674397,Bardet-Biedl syndrome 7,True,,,,,,
12,BBS1,ENSG00000174483,0.8175028789428049,0.81153917419446,No data,No data,No data,0.21080936279760165,No data,0.5990677027114635,Bardet-Biedl syndrome 1,True,,,,,,
13,GNRHR,ENSG00000109163,0.8100702398118742,0.7886533700780672,No data,0.39627173307859687,No data,0.07903049195846393,No data,0.6021608118957472,gonadotropin releasing hormone receptor,True,,,,,,
14,PNPLA6,ENSG00000032444,0.8010274094517518,0.8003825670218578,No data,No data,No data,0.1160716373808908,No data,No data,patatin like phospholipase domain containing 6,True,,,,,,
15,HBB,ENSG00000244734,0.800442990626356,0.7608879133652054,No data,0.5459628237375089,No data,0.14692440661024347,No data,No data,hemoglobin subunit beta,True,,,,,,
16,FOXL2,ENSG00000183770,0.7995943202545742,0.7943932864731608,No data,No data,No data,0.5247762207212464,No data,0.5506362042061712,forkhead box L2,True,F,—,F,F,Y,True
17,BBS9,ENSG00000122507,0.7988508612922628,0.7938859268089082,No data,No data,No data,0.1286417844906429,No data,0.531282237856378,Bardet-Biedl syndrome 9,True,,,,,,
18,NR5A1,ENSG00000136931,0.7909425379487873,0.7859318371304694,No data,No data,No data,0.04708709256003797,No data,0.5936382324563676,nuclear receptor subfamily 5 group A member 1,True,,,,,,
19,PROK2,ENSG00000163421,0.7893076379799865,0.7879296974937791,No data,No data,No data,0.17224256077593322,No data,No data,prokineticin 2,True,,,,,,
20,BBS5,ENSG00000163093,0.7888881378152973,0.7877989639109676,No data,No data,No data,0.19605130277934582,No data,No data,Bardet-Biedl syndrome 5,True,,,,,,
21,FGF8,ENSG00000107831,0.7872583598168171,0.7802126016090991,No data,No data,No data,0.07285133786010449,No data,0.5170358003869762,fibroblast growth factor 8,True,,,,,,
22,KISS1R,ENSG00000116014,0.7871866857041832,0.7815783294128456,No data,No data,No data,0.14104902227197302,No data,0.6030938265061158,KISS1 receptor,True,,,,,,
23,WDR11,ENSG00000120008,0.7853527120885435,0.7801736407954027,No data,No data,No data,0.07080729591436297,No data,0.598212178368712,WD repeat domain 11,True,,,,,,
24,CLPP,ENSG00000125656,0.7849287862000245,0.7824538080889526,No data,No data,No data,0.10667797021779961,No data,0.5246943162646092,caseinolytic mitochondrial matrix peptidase proteolytic subunit,True,,,,,,
25,CYP21A2,ENSG00000231852,0.7833754332420626,0.7818147867941337,No data,No data,No data,0.12485171583431157,No data,No data,cytochrome P450 family 21 subfamily A member 2,True,,,,,,
26,LARS2,ENSG00000011376,0.782971797719938,0.7819789331556523,No data,No data,No data,0.17871562157142712,No data,No data,"leucyl-tRNA synthetase 2, mitochondrial",True,,,,,,
27,PROP1,ENSG00000175325,0.7818286753623668,0.7735081847109683,No data,No data,No data,0.1064623563803872,No data,0.5975033440284409,PROP paired-like homeobox 1,True,,,,,,
28,CYP17A1,ENSG00000148795,0.7805202338654418,0.7727289213233299,No data,0.03695798546847018,No data,0.09527388929400146,No data,0.4626954990725124,cytochrome P450 family 17 subfamily A member 1,True,,,,,,
29,BMP15,ENSG00000130385,0.775400059657672,0.7715637685179227,No data,No data,No data,0.05362804997962387,No data,0.44229469109391684,bone morphogenetic protein 15,True,,,,,,
