gene symbol,ensembl ID,overallAssociationScore,geneticAssociations,somaticMutations,drugs,pathwaysSystemsBiology,textMining,rnaExpression,animalModels,targetName,Open Targets,Consensus-RNAseq:Low,Proteomics-DB:Low,HPA-Ab:,Mouse Infertility,Druggable,CITDBase,normalized RNA expression,Ovarian stroma cells,Follicle cells
POLD1,ENSG00000062822,0.301182567,No data,No data,0.301182567,No data,No data,No data,No data,"DNA polymerase delta 1, catalytic subunit",TRUE,,,,,,,8.2,medium,high
PRIM2,ENSG00000146143,0.301182567,No data,No data,0.301182567,No data,No data,No data,No data,DNA primase subunit 2,TRUE,,,,,,,4.3,na,na
POLE2,ENSG00000100479,0.301182567,No data,No data,0.301182567,No data,No data,No data,No data,"DNA polymerase epsilon 2, accessory subunit",TRUE,,,,,,,2.7,not detected,low
CD52,ENSG00000169442,0.300090104,No data,No data,0.300090104,No data,No data,No data,No data,CD52 molecule,TRUE,,,,,,,0.8,na,na
SCN4A,ENSG00000007314,0.299694614,No data,No data,0.277184891,No data,No data,No data,0.45019446,sodium voltage-gated channel alpha subunit 4,TRUE,,,,,,,0,na,na
SCN5A,ENSG00000183873,0.299085577,No data,No data,0.277184891,No data,0.022174791,No data,0.428158262,sodium voltage-gated channel alpha subunit 5,TRUE,,,,,,,0.6,na,na
SCN2A,ENSG00000136531,0.295439056,No data,No data,0.277184891,No data,0.011087396,No data,0.360155568,sodium voltage-gated channel alpha subunit 2,TRUE,,,,,,,1.5,not detected,not detected
LRP2,ENSG00000081479,0.294941354,0.266097495,No data,No data,No data,No data,No data,0.576877169,LDL receptor related protein 2,TRUE,,,,,,,0.4,not detected,not detected
CNR1,ENSG00000118432,0.292134909,No data,No data,0.287707651,No data,0.088545174,No data,No data,cannabinoid receptor 1,TRUE,,,,,,,4.1,not detected,not detected
SLC6A3,ENSG00000142319,0.290592447,No data,No data,0.258705898,No data,0.154710234,No data,0.568970861,solute carrier family 6 member 3,TRUE,,,,,,,1.5,not detected,not detected
STAG3,ENSG00000066923,0.289664913,0.266097495,No data,No data,No data,0.025767929,No data,0.459895932,stromal antigen 3,TRUE,,,,,,,0.4,not detected,low
GABRB1,ENSG00000163288,0.287858386,No data,No data,0.258705898,No data,No data,No data,0.583049759,gamma-aminobutyric acid type A receptor subunit beta1,TRUE,,,,,,,1.1,na,na
RERE,ENSG00000142599,0.285194985,0.258705898,No data,No data,No data,0.055334317,No data,0.505188713,arginine-glutamic acid dipeptide repeats,TRUE,,,,,,,24.4,not detected,na
PABPC1L,ENSG00000101104,0.28381269,0.258705898,No data,No data,No data,No data,No data,0.502135829,poly(A) binding protein cytoplasmic 1 like,TRUE,,,,,,,16.9,na,na
HRAS,ENSG00000174775,0.278357178,No data,0.277184891,No data,No data,0.023445735,No data,No data,"HRas proto-oncogene, GTPase",TRUE,,,,,,,7.7,not detected,na
SCN1A,ENSG00000144285,0.277739261,No data,No data,0.277184891,No data,0.011087396,No data,No data,sodium voltage-gated channel alpha subunit 1,TRUE,,,,,,,1,na,na
TRAIP,ENSG00000183763,0.277716447,0.277184891,No data,No data,No data,0.023920029,No data,No data,TRAF interacting protein,TRUE,,,,,,,3.4,low,na
KDM6A,ENSG00000147050,0.277294579,0.258705898,No data,No data,No data,0.026140588,No data,0.360155568,lysine demethylase 6A,TRUE,,,,,,,23.8,not detected,low
SCN7A,ENSG00000136546,0.277184891,No data,No data,0.277184891,No data,No data,No data,No data,sodium voltage-gated channel alpha subunit 7,TRUE,,,,,,,33.3,not detected,not detected
F10,ENSG00000126218,0.277184891,No data,No data,0.277184891,No data,No data,No data,No data,coagulation factor X,TRUE,,,,,,,18.2,na,na
SCN3A,ENSG00000153253,0.277184891,No data,No data,0.277184891,No data,No data,No data,No data,sodium voltage-gated channel alpha subunit 3,TRUE,,,,,,,1.8,not detected,low
SCN10A,ENSG00000185313,0.277184891,No data,No data,0.277184891,No data,No data,No data,No data,sodium voltage-gated channel alpha subunit 10,TRUE,,,,,,,0,na,na
SCN11A,ENSG00000168356,0.277184891,No data,No data,0.277184891,No data,No data,No data,No data,sodium voltage-gated channel alpha subunit 11,TRUE,,,,,,,0,na,na
EP300,ENSG00000100393,0.275765704,0.258705898,No data,No data,No data,0.016631093,No data,0.333804525,E1A binding protein p300,TRUE,,,,,,,20.2,medium,na
GRIK3,ENSG00000163873,0.275351775,No data,No data,0.258705898,No data,No data,No data,0.332917533,glutamate ionotropic receptor kainate type subunit 3,TRUE,,,,,,,1.3,na,na
SELE,ENSG00000007908,0.272940725,No data,No data,0.267945395,No data,0.099906611,No data,No data,selectin E,TRUE,,,,,,,9.8,not detected,not detected
SELL,ENSG00000188404,0.270748042,No data,No data,0.267945395,No data,0.056052945,No data,No data,selectin L,TRUE,,,,,,,0.8,not detected,not detected
RALGAPB,ENSG00000170471,0.266097495,0.266097495,No data,No data,No data,No data,No data,No data,Ral GTPase activating protein non-catalytic subunit beta,TRUE,,,,,,,17.4,not detected,na
KMT2D,ENSG00000167548,0.26582315,0.258705898,No data,No data,No data,0.142345044,No data,No data,lysine methyltransferase 2D,TRUE,,,,,,,9.7,not detected,na
GABRB3,ENSG00000166206,0.265060271,No data,No data,0.258705898,No data,0.127087455,No data,No data,gamma-aminobutyric acid type A receptor subunit beta3,TRUE,,,,,,,2.5,na,na
GRIA2,ENSG00000120251,0.264434386,No data,No data,0.258705898,No data,0.114569755,No data,No data,glutamate ionotropic receptor AMPA type subunit 2,TRUE,,,,,,,1.7,not detected,not detected
GABRG3,ENSG00000182256,0.260825849,No data,No data,0.258705898,No data,0.042399022,No data,No data,gamma-aminobutyric acid type A receptor subunit gamma3,TRUE,,,,,,,0.5,not detected,not detected
GABRA5,ENSG00000186297,0.260646193,No data,No data,0.258705898,No data,0.038805885,No data,No data,gamma-aminobutyric acid type A receptor subunit alpha5,TRUE,,,,,,,0.7,na,na
ADNP,ENSG00000101126,0.259860835,0.258705898,No data,No data,No data,0.023098741,No data,No data,activity dependent neuroprotector homeobox,TRUE,,,,,,,38.8,medium,na
GABRA2,ENSG00000151834,0.259814638,No data,No data,0.258705898,No data,0.022174791,No data,No data,gamma-aminobutyric acid type A receptor subunit alpha2,TRUE,,,,,,,1.9,na,na
GABRA1,ENSG00000022355,0.259814638,No data,No data,0.258705898,No data,0.022174791,No data,No data,gamma-aminobutyric acid type A receptor subunit alpha1,TRUE,,,,,,,1,not detected,not detected
GABRG2,ENSG00000113327,0.259722243,No data,No data,0.258705898,No data,0.020326892,No data,No data,gamma-aminobutyric acid type A receptor subunit gamma2,TRUE,,,,,,,1.5,na,na
GRIA3,ENSG00000125675,0.259629848,No data,No data,0.258705898,No data,0.018478993,No data,No data,glutamate ionotropic receptor AMPA type subunit 3,TRUE,,,,,,,5.6,not detected,medium
GRIA1,ENSG00000155511,0.259629848,No data,No data,0.258705898,No data,0.018478993,No data,No data,glutamate ionotropic receptor AMPA type subunit 1,TRUE,,,,,,,1.3,not detected,na
GABRB2,ENSG00000145864,0.259629848,No data,No data,0.258705898,No data,0.018478993,No data,No data,gamma-aminobutyric acid type A receptor subunit beta2,TRUE,,,,,,,0.9,not detected,na
GABRA3,ENSG00000011677,0.259629848,No data,No data,0.258705898,No data,0.018478993,No data,No data,gamma-aminobutyric acid type A receptor subunit alpha3,TRUE,,,,,,,0.6,not detected,not detected
CA2,ENSG00000104267,0.259629848,No data,No data,0.258705898,No data,0.018478993,No data,No data,carbonic anhydrase 2,TRUE,,,,,,,0.5,not detected,na
PUF60,ENSG00000179950,0.259393727,0.258705898,No data,No data,No data,0.013756583,No data,No data,poly(U) binding splicing factor 60,TRUE,,,,,,,23.9,low,low
SLC6A2,ENSG00000103546,0.259075478,No data,No data,0.258705898,No data,0.007391597,No data,No data,solute carrier family 6 member 2,TRUE,,,,,,,0.2,not detected,low
TRAPPC3,ENSG00000054116,0.258705898,0.258705898,No data,No data,No data,No data,No data,No data,trafficking protein particle complex subunit 3,TRUE,,,,,,,19.9,not detected,na
PRORP,ENSG00000100890,0.258705898,0.258705898,No data,No data,No data,No data,No data,No data,protein only RNase P catalytic subunit,TRUE,,,,,,,10.8,medium,na
GRIK4,ENSG00000149403,0.258705898,No data,No data,0.258705898,No data,No data,No data,No data,glutamate ionotropic receptor kainate type subunit 4,TRUE,,,,,,,8.5,not detected,not detected
GRIK5,ENSG00000105737,0.258705898,No data,No data,0.258705898,No data,No data,No data,No data,glutamate ionotropic receptor kainate type subunit 5,TRUE,,,,,,,5.3,na,na
GRIK2,ENSG00000105737,0.258705898,No data,No data,0.258705898,No data,No data,No data,No data,glutamate ionotropic receptor kainate type subunit 2,TRUE,,,,,,,5.3,na,na
GABRG1,ENSG00000163285,0.258705898,No data,No data,0.258705898,No data,No data,No data,No data,gamma-aminobutyric acid type A receptor subunit gamma1,TRUE,,,,,,,3.9,not detected,na
CA4,ENSG00000167434,0.258705898,No data,No data,0.258705898,No data,No data,No data,No data,carbonic anhydrase 4,TRUE,,,,,,,1.9,not detected,na
GABRE,ENSG00000102287,0.258705898,No data,No data,0.258705898,No data,No data,No data,No data,gamma-aminobutyric acid type A receptor subunit epsilon,TRUE,,,,,,,1.6,na,na
GRIA4,ENSG00000152578,0.258705898,No data,No data,0.258705898,No data,No data,No data,No data,glutamate ionotropic receptor AMPA type subunit 4,TRUE,,,,,,,1.3,na,na
GRIK1,ENSG00000171189,0.258705898,No data,No data,0.258705898,No data,No data,No data,No data,glutamate ionotropic receptor kainate type subunit 1,TRUE,,,,,,,1.1,not detected,medium
GABRP,ENSG00000094755,0.258705898,No data,No data,0.258705898,No data,No data,No data,No data,gamma-aminobutyric acid type A receptor subunit pi,TRUE,,,,,,,1.1,not detected,na
GABRD,ENSG00000187730,0.258705898,No data,No data,0.258705898,No data,No data,No data,No data,gamma-aminobutyric acid type A receptor subunit delta,TRUE,,,,,,,0.9,not detected,not detected
GABRQ,ENSG00000268089,0.258705898,No data,No data,0.258705898,No data,No data,No data,No data,gamma-aminobutyric acid type A receptor subunit theta,TRUE,,,,,,,0.1,na,na
GABRA4,ENSG00000109158,0.258705898,No data,No data,0.258705898,No data,No data,No data,No data,gamma-aminobutyric acid type A receptor subunit alpha4,TRUE,,,,,,,0,na,na
GABRA6,ENSG00000145863,0.258705898,No data,No data,0.258705898,No data,No data,No data,No data,gamma-aminobutyric acid type A receptor subunit alpha6,TRUE,,,,,,,0,not detected,na
HBS1L,ENSG00000112339,0.225297092,0.221954705,No data,No data,No data,0.066847742,No data,No data,HBS1 like translational GTPase,TRUE,,,,,,,15.6,low,high
MEN1,ENSG00000133895,0.222724512,No data,0.184789927,No data,No data,0.399796421,No data,0.581004387,menin 1,TRUE,,,,,,,19.7,not detected,not detected
SGO2,ENSG00000163535,0.204090209,0.184789927,No data,No data,No data,0.036957985,No data,0.369579855,shugoshin 2,TRUE,,,,,,,2.2,not detected,na
CSHL1,ENSG00000204414,0.202949001,0.173925481,No data,No data,No data,No data,No data,0.580470405,chorionic somatomammotropin hormone like 1,TRUE,,,,,,,0.1,not detected,not detected
