Unnamed: 0,gene symbol,ensembl ID,overallAssociationScore,geneticAssociations,somaticMutations,drugs,pathwaysSystemsBiology,textMining,rnaExpression,animalModels,targetName,Open Targets,Consensus-RNAseq:Low,Proteomics-DB:Low,HPA-Ab:,Mouse Infertility,Druggable,CITDBase,normalized RNA expression,Ovarian stroma cells,Follicle cells
0,CHD7,ENSG00000171316,0.880615172,0.877307388,No data,No data,No data,0.463743011,No data,0.452785626,chromodomain helicase DNA binding protein 7,True,,,,,,,1.4,na,na
1,BBS10,ENSG00000179941,0.856658343,0.852927797,No data,No data,No data,0.10588503,No data,0.593705165,Bardet-Biedl syndrome 10,True,,,,,,,18.8,not detected,not detected
2,FGFR1,ENSG00000077782,0.855478115,0.851700548,No data,No data,No data,0.162556319,No data,0.560532925,fibroblast growth factor receptor 1,True,,,,,,,42.0,medium,na
3,GALT,ENSG00000213930,0.852918918,0.852402174,No data,No data,No data,0.093013916,No data,No data,galactose-1-phosphate uridylyltransferase,True,,,,,,,8.7,low,na
4,BBS12,ENSG00000181004,0.848484316,0.844607956,No data,No data,No data,0.147111958,No data,0.589662583,Bardet-Biedl syndrome 12,True,,,,,,,5.0,not detected,not detected
5,POU1F1,ENSG00000064835,0.834525073,0.830816174,No data,No data,No data,0.155723283,No data,0.553192791,POU class 1 homeobox 1,True,,,,,,,0.0,not detected,not detected
6,ANOS1,ENSG00000011201,0.830773231,0.828826958,No data,No data,No data,0.243284144,No data,No data,anosmin 1,True,,,,,,,0.9,na,na
7,PROKR2,ENSG00000101292,0.824482089,0.819194585,No data,No data,No data,0.168748389,No data,0.543751661,prokineticin receptor 2,True,,,,,,,0.0,na,na
8,HESX1,ENSG00000163666,0.824110934,0.820658144,No data,No data,No data,0.114488989,No data,0.537387834,HESX homeobox 1,True,,,,,,,2.1,low,high
9,BBS4,ENSG00000140463,0.822679676,0.818738319,No data,No data,No data,0.143892576,No data,0.603727306,Bardet-Biedl syndrome 4,True,,,,,,,14.8,not detected,na
10,NR0B1,ENSG00000169297,0.822344614,0.810226565,0.332621869,No data,No data,0.169504884,No data,0.575468179,nuclear receptor subfamily 0 group B member 1,True,,,,,,,3.5,na,na
11,BBS7,ENSG00000138686,0.817999216,0.814165292,No data,No data,No data,0.133860306,No data,0.591759981,Bardet-Biedl syndrome 7,True,,,,,,,18.5,not detected,not detected
12,BBS1,ENSG00000174483,0.817502879,0.811539174,No data,No data,No data,0.210809363,No data,0.599067703,Bardet-Biedl syndrome 1,True,,,,,,,30.4,not detected,not detected
13,GNRHR,ENSG00000109163,0.81007024,0.78865337,No data,0.396271733,No data,0.079030492,No data,0.602160812,gonadotropin releasing hormone receptor,True,,,,,,,0.2,not detected,not detected
14,PNPLA6,ENSG00000032444,0.801027409,0.800382567,No data,No data,No data,0.116071637,No data,No data,patatin like phospholipase domain containing 6,True,,,,,,,12.5,high,na
15,HBB,ENSG00000244734,0.800442991,0.760887913,No data,0.545962824,No data,0.146924407,No data,No data,hemoglobin subunit beta,True,,,,,,,82.6,not detected,not detected
16,FOXL2,ENSG00000183770,0.79959432,0.794393286,No data,No data,No data,0.524776221,No data,0.550636204,forkhead box L2,True,F,—,F,F,Y,True,55.5,medium,medium
17,BBS9,ENSG00000122507,0.798850861,0.793885927,No data,No data,No data,0.128641784,No data,0.531282238,Bardet-Biedl syndrome 9,True,,,,,,,13.4,not detected,medium
18,NR5A1,ENSG00000136931,0.790942538,0.785931837,No data,No data,No data,0.047087093,No data,0.593638232,nuclear receptor subfamily 5 group A member 1,True,,,,,,,13.1,na,na
19,PROK2,ENSG00000163421,0.789307638,0.787929697,No data,No data,No data,0.172242561,No data,No data,prokineticin 2,True,,,,,,,0.7,not detected,na
20,BBS5,ENSG00000163093,0.788888138,0.787798964,No data,No data,No data,0.196051303,No data,No data,Bardet-Biedl syndrome 5,True,,,,,,,9.3,not detected,na
21,FGF8,ENSG00000107831,0.78725836,0.780212602,No data,No data,No data,0.072851338,No data,0.5170358,fibroblast growth factor 8,True,,,,,,,0.1,na,na
22,KISS1R,ENSG00000116014,0.787186686,0.781578329,No data,No data,No data,0.141049022,No data,0.603093827,KISS1 receptor,True,,,,,,,0.4,not detected,high
23,WDR11,ENSG00000120008,0.785352712,0.780173641,No data,No data,No data,0.070807296,No data,0.598212178,WD repeat domain 11,True,,,,,,,19.4,not detected,na
24,CLPP,ENSG00000125656,0.784928786,0.782453808,No data,No data,No data,0.10667797,No data,0.524694316,caseinolytic mitochondrial matrix peptidase proteolytic subunit,True,,,,,,,23.7,low,na
25,CYP21A2,ENSG00000231852,0.783375433,0.781814787,No data,No data,No data,0.124851716,No data,No data,cytochrome P450 family 21 subfamily A member 2,True,,,,,,,0.2,not detected,na
26,LARS2,ENSG00000011376,0.782971798,0.781978933,No data,No data,No data,0.178715622,No data,No data,"leucyl-tRNA synthetase 2, mitochondrial",True,,,,,,,10.2,low,low
27,PROP1,ENSG00000175325,0.781828675,0.773508185,No data,No data,No data,0.106462356,No data,0.597503344,PROP paired-like homeobox 1,True,,,,,,,0.0,not detected,not detected
28,CYP17A1,ENSG00000148795,0.780520234,0.772728921,No data,0.036957985,No data,0.095273889,No data,0.462695499,cytochrome P450 family 17 subfamily A member 1,True,,,,,,,3.2,not detected,not detected
29,BMP15,ENSG00000130385,0.77540006,0.771563769,No data,No data,No data,0.05362805,No data,0.442294691,bone morphogenetic protein 15,True,,,,,,,0.1,na,na
30,TACR3,ENSG00000169836,0.774187674,0.769334047,No data,No data,No data,0.052036844,No data,0.570566705,tachykinin receptor 3,True,,,,,,,0.1,na,na
31,MKKS,ENSG00000125863,0.772724275,0.764248715,No data,No data,No data,0.117464489,No data,0.602867538,MKKS centrosomal shuttling protein,True,,,,,,,17.5,not detected,medium
32,STAR,ENSG00000147465,0.769382207,0.764127569,No data,No data,No data,0.168991478,No data,0.539474554,steroidogenic acute regulatory protein,True,,,,,,,124.6,not detected,not detected
33,BBS2,ENSG00000125124,0.768813256,0.760328151,No data,No data,No data,0.127570041,No data,0.597163553,Bardet-Biedl syndrome 2,True,,,,,,,26.3,not detected,not detected
34,HARS2,ENSG00000125821,0.759444235,0.758560449,No data,No data,No data,0.116119594,No data,No data,"histidyl-tRNA synthetase 2, mitochondrial",True,,,,,,,19.1,not detected,na
35,HSD17B3,ENSG00000130948,0.759366558,0.759227965,No data,No data,No data,0.011087396,No data,No data,hydroxysteroid 17-beta dehydrogenase 3,True,—,CTB,—,—,Y,True,0.5,not detected,na
36,HSD17B4,ENSG00000133835,0.757456384,0.752647383,No data,No data,No data,0.112380891,No data,0.523082794,hydroxysteroid 17-beta dehydrogenase 4,True,,,,,,,15.1,not detected,na
37,GH1,ENSG00000259384,0.756691174,0.748995985,No data,No data,No data,0.549256675,No data,0.580470405,growth hormone 1,True,,,,,,,0.0,not detected,not detected
38,CYP19A1,ENSG00000137869,0.753986053,0.746541875,No data,0.036957985,No data,0.336265669,No data,0.602723867,cytochrome P450 family 19 subfamily A member 1,True,,,,,,,4.4,not detected,not detected
39,ARL6,ENSG00000113966,0.753323216,0.752401597,No data,No data,No data,0.115202383,No data,No data,ADP ribosylation factor like GTPase 6,True,,,,,,,6.4,low,low
40,RAB3GAP2,ENSG00000118873,0.752787734,0.751852629,No data,No data,No data,0.116888088,No data,No data,RAB3 GTPase activating non-catalytic protein subunit 2,True,,,,,,,16.2,medium,medium
41,RNF216,ENSG00000011275,0.742208865,0.739275132,No data,No data,No data,0.234698662,No data,No data,ring finger protein 216,True,,,,,,,25.6,low,medium
42,GHRHR,ENSG00000106128,0.742139227,0.73658621,No data,No data,No data,0.141455903,No data,0.595893802,growth hormone releasing hormone receptor,True,,,,,,,0.0,na,na
43,MAGEL2,ENSG00000254585,0.741902697,0.735433818,No data,No data,No data,0.31219116,No data,0.59181045,MAGE family member L2,True,,,,,,,7.2,na,na
44,WNT4,ENSG00000162552,0.740765388,0.737073513,No data,No data,No data,0.11508754,No data,0.579983419,Wnt family member 4,True,,,,,,,34.3,na,na
45,TWNK,ENSG00000107815,0.73245679,0.727637261,No data,No data,No data,0.385562325,No data,No data,twinkle mtDNA helicase,True,,,,,,,9.8,not detected,not detected
46,LHX3,ENSG00000107187,0.728815937,0.725368229,No data,No data,No data,0.050589225,No data,0.583419811,LIM homeobox 3,True,,,,,,,0.0,na,na
47,FSHR,ENSG00000170820,0.728785033,0.664505956,No data,0.511495638,No data,0.158235685,No data,0.602787951,follicle stimulating hormone receptor,True,,,,,,,6.5,na,na
48,FSHB,ENSG00000131808,0.728151337,0.711573878,0.332621869,No data,No data,0.031311627,No data,0.566060851,follicle stimulating hormone subunit beta,True,,,,,,,0.0,not detected,not detected
49,SMCHD1,ENSG00000101596,0.723591741,0.721206661,No data,No data,No data,0.107328594,No data,No data,structural maintenance of chromosomes flexible hinge domain containing 1,True,,,,,,,20.0,not detected,na
50,TUBB8,ENSG00000261456,0.716760888,0.715121733,No data,No data,No data,0.073761979,No data,No data,tubulin beta 8 class VIII,True,,,,,,,0.0,na,na
51,PATL2,ENSG00000229474,0.712936453,0.708164284,No data,No data,No data,0.075240299,No data,0.333619735,PAT1 homolog 2,True,,,,,,,1.3,na,na
52,LHX4,ENSG00000121454,0.710625165,0.710055101,No data,No data,No data,0.045605065,No data,No data,LIM homeobox 4,True,,,,,,,2.2,na,na
53,POLR3B,ENSG00000013503,0.710063098,0.710003965,No data,No data,No data,0.007391597,No data,No data,RNA polymerase III subunit B,True,,,,,,,11.3,medium,high
54,SPRY4,ENSG00000187678,0.706131567,0.693266106,No data,No data,No data,0.025767929,No data,0.564451245,sprouty RTK signaling antagonist 4,True,,,,,,,5.7,low,na
