gene symbol,ensembl ID,overallAssociationScore,geneticAssociations,somaticMutations,drugs,pathwaysSystemsBiology,textMining,rnaExpression,animalModels,targetName,Open Targets,Consensus-RNAseq:Low,Proteomics-DB:Low,HPA-Ab:,Mouse Infertility,Druggable,CITDBase,normalized RNA expression,Ovarian stroma cells,Follicle cells,MGI_ID
CHD7,ENSG00000171316,0.8806151720000001,0.877307388,No data,No data,No data,0.463743011,No data,0.452785626,chromodomain helicase DNA binding protein 7,True,,,,,,,1.4,na,na,MGI:2444748
BBS10,ENSG00000179941,0.856658343,0.852927797,No data,No data,No data,0.10588503,No data,0.593705165,Bardet-Biedl syndrome 10,True,,,,,,,18.8,not detected,not detected,MGI:1919019
FGFR1,ENSG00000077782,0.855478115,0.851700548,No data,No data,No data,0.162556319,No data,0.560532925,fibroblast growth factor receptor 1,True,,,,,,,42.0,medium,na,MGI:95522
GALT,ENSG00000213930,0.852918918,0.852402174,No data,No data,No data,0.093013916,No data,No data,galactose-1-phosphate uridylyltransferase,True,,,,,,,8.7,low,na,MGI:95638
BBS12,ENSG00000181004,0.848484316,0.844607956,No data,No data,No data,0.147111958,No data,0.589662583,Bardet-Biedl syndrome 12,True,,,,,,,5.0,not detected,not detected,MGI:2686651
POU1F1,ENSG00000064835,0.834525073,0.830816174,No data,No data,No data,0.155723283,No data,0.553192791,POU class 1 homeobox 1,True,,,,,,,0.0,not detected,not detected,MGI:97588
ANOS1,ENSG00000011201,0.8307732309999999,0.828826958,No data,No data,No data,0.243284144,No data,No data,anosmin 1,True,,,,,,,0.9,na,na,MGI:3649773
PROKR2,ENSG00000101292,0.8244820890000001,0.819194585,No data,No data,No data,0.168748389,No data,0.543751661,prokineticin receptor 2,True,,,,,,,0.0,na,na,MGI:2181363
HESX1,ENSG00000163666,0.824110934,0.820658144,No data,No data,No data,0.114488989,No data,0.537387834,HESX homeobox 1,True,,,,,,,2.1,low,high,MGI:96071
BBS4,ENSG00000140463,0.8226796759999999,0.818738319,No data,No data,No data,0.143892576,No data,0.603727306,Bardet-Biedl syndrome 4,True,,,,,,,14.8,not detected,na,MGI:2143311
